code,code_name,code_short
sh.600501,航天晨光,600501
sh.600502,安徽建工,600502
sh.600503,华丽家族,600503
sh.600505,西昌电力,600505
sh.600506,统一股份,600506
sh.600507,方大特钢,600507
sh.600508,上海能源,600508
sh.600509,天富能源,600509
sh.600510,黑牡丹,600510
sh.600511,国药股份,600511
sh.600512,腾达建设,600512
sh.600513,联环药业,600513
sh.600515,海南机场,600515
sh.600516,方大炭素,600516
sh.600517,国网英大,600517
sh.600518,康美药业,600518
sh.600519,贵州茅台,600519
sh.600520,三佳科技,600520
sh.600521,华海药业,600521
sh.600522,中天科技,600522
sh.600523,贵航股份,600523
sh.600525,ST长园,600525
sh.600526,菲达环保,600526
sh.600527,江南高纤,600527
sh.600528,中铁工业,600528
sh.600529,山东药玻,600529
sh.600530,交大昂立,600530
sh.600531,豫光金铅,600531
sh.600532,退市未来,600532
sh.600533,栖霞建设,600533
sh.600535,天士力,600535
sh.600536,中国软件,600536
sh.600537,*ST亿晶,600537
sh.600538,国发股份,600538
sh.600539,狮头股份,600539
sh.600540,新赛股份,600540
sh.600543,*ST莫高,600543
sh.600545,卓郎智能,600545
sh.600546,山煤国际,600546
sh.600547,山东黄金,600547
sh.600548,深高速,600548
sh.600549,厦门钨业,600549
sh.600550,保变电气,600550
sh.600551,时代出版,600551
sh.600552,凯盛科技,600552
sh.600553,太行水泥,600553
sh.600555,退市海创,600555
sh.600556,天下秀,600556
sh.600557,康缘药业,600557
sh.600558,大西洋,600558
sh.600559,老白干酒,600559
sh.600560,金自天正,600560
sh.600561,江西长运,600561
sh.600562,国睿科技,600562
sh.600563,法拉电子,600563
sh.600565,ST迪马,600565
sh.600566,济川药业,600566
sh.600567,山鹰国际,600567
sh.600568,ST中珠,600568
sh.600569,安阳钢铁,600569
sh.600570,恒生电子,600570
sh.600571,信雅达,600571
sh.600572,康恩贝,600572
sh.600573,惠泉啤酒,600573
sh.600575,淮河能源,600575
sh.600576,祥源文旅,600576
sh.600577,精达股份,600577
sh.600578,京能电力,600578
sh.600579,中化装备,600579
sh.600580,卧龙电驱,600580
sh.600581,*ST八钢,600581
sh.600582,天地科技,600582
sh.600583,海油工程,600583
sh.600584,长电科技,600584
sh.600585,海螺水泥,600585
sh.600586,金晶科技,600586
sh.600587,新华医疗,600587
sh.600588,用友网络,600588
sh.600589,大位科技,600589
sh.600590,泰豪科技,600590
sh.600591,*ST上航,600591
sh.600592,龙溪股份,600592
sh.600593,大连圣亚,600593
sh.600594,益佰制药,600594
sh.600595,中孚实业,600595
sh.600596,新安股份,600596
sh.600597,光明乳业,600597
sh.600598,北大荒,600598
sh.600599,*ST熊猫,600599
sh.600600,青岛啤酒,600600
sh.600601,方正科技,600601
sh.600602,云赛智联,600602
sh.600603,广汇物流,600603
sh.600604,市北高新,600604
sh.600605,汇通能源,600605
sh.600606,绿地控股,600606
sh.600607,上实医药,600607
sh.600608,*ST沪科,600608
sh.600609,金杯汽车,600609
sh.600610,中毅达,600610
sh.600611,大众交通,600611
sh.600612,老凤祥,600612
sh.600613,神奇制药,600613
sh.600614,退市鹏起,600614
sh.600615,鑫源智造,600615
sh.600616,金枫酒业,600616
sh.600617,国新能源,600617
sh.600618,氯碱化工,600618
sh.600619,海立股份,600619
sh.600620,天宸股份,600620
sh.600621,华鑫股份,600621
sh.600622,光大嘉宝,600622
sh.600623,华谊集团,600623
sh.600624,ST复华,600624
sh.600625,PT水仙,600625
sh.600626,申达股份,600626
sh.600627,上电股份,600627
sh.600628,新世界,600628
sh.600629,华建集团,600629
sh.600630,龙头股份,600630
sh.600631,百联股份,600631
sh.600632,华联商厦,600632
sh.600633,浙数文化,600633
sh.600634,退市富控,600634
sh.600635,大众公用,600635
sh.600636,*ST国化,600636
sh.600637,东方明珠,600637
sh.600638,新黄浦,600638
sh.600639,浦东金桥,600639
sh.600640,国脉文化,600640
sh.600641,先导基电,600641
sh.600642,申能股份,600642
sh.600643,爱建集团,600643
sh.600644,乐山电力,600644
sh.600645,中源协和,600645
sh.600646,ST国嘉,600646
sh.600647,退市同达,600647
sh.600648,外高桥,600648
sh.600649,城投控股,600649
sh.600650,锦江在线,600650
sh.600651,飞乐音响,600651
sh.600652,退市游久,600652
sh.600653,申华控股,600653
sh.600654,中安科,600654
sh.600655,豫园股份,600655
sh.600656,退市博元,600656
sh.600657,信达地产,600657
sh.600658,电子城,600658
sh.600659,*ST花雕,600659
sh.600660,福耀玻璃,600660
sh.600661,昂立教育,600661
sh.600662,外服控股,600662
sh.600663,陆家嘴,600663
sh.600664,哈药股份,600664
sh.600665,天地源,600665
sh.600666,奥瑞德,600666
sh.600667,太极实业,600667
sh.600668,尖峰集团,600668
sh.600669,*ST鞍成,600669
sh.600670,*ST斯达,600670
sh.600671,天目药业,600671
sh.600672,*ST华圣,600672
sh.600673,东阳光,600673
sh.600674,川投能源,600674
sh.600675,中华企业,600675
sh.600676,交运股份,600676
sh.600677,*ST航通,600677
sh.600678,ST金顶,600678
sh.600679,上海凤凰,600679
sh.600680,*ST上普,600680
sh.600681,百川能源,600681
sh.600682,南京新百,600682
sh.600683,京投发展,600683
